942	LDZX_DSZ32_ASZ32_SC1
94e	STATICKLE_DSZ32_ASZ32_SC1
952	LDZX_DSZ32_ASZ32_SC2
972	LDZX_DSZ32_ASZ32_SC8
981	LWSI_DSZ32_ASZ64_SC1_RL
982	LDZX_DSZ32_ASZ64_SC1
984	LDPPHYS_DSZ32_ASZ64_SC1
987	LDHINT_CACHE1_ASZ64_SC1
994	LDPPHYS_DSZ32_ASZ64_SC2
9a4	LDPPHYS_DSZ32_ASZ64_SC4
a08	CONDLDINDEX_DSZ64_ASZ16_SC1
a22	LDZX_DSZ64_ASZ16_SC4
a32	LDZX_DSZ64_ASZ16_SC8
a41	LWSI_DSZ64_ASZ32_SC1_RL
a42	LDZX_DSZ64_ASZ32_SC1
a82	LDZX_DSZ64_ASZ64_SC1
a84	LDPPHYS_DSZ64_ASZ64_SC1
a87	LDHINT_CACHE2_ASZ64_SC1
a88	CONDLDINDEX_DSZ64_ASZ64_SC1
a92	LDZX_DSZ64_ASZ64_SC2
a94	LDPPHYS_DSZ64_ASZ64_SC2
aa0	LWSI_DSZ64_ASZ64_SC4_RE
aa2	LDZX_DSZ64_ASZ64_SC4
aa4	LDPPHYS_DSZ64_ASZ64_SC4
ab4	LDPPHYS_DSZ64_ASZ64_SC8
b40	LWSI_DSZ8_ASZ32_SC1_RE
b4e	STATICKLE_DSZ8_ASZ32_SC1
b80	LWSI_DSZ8_ASZ64_SC1_RE
b84	LDPPHYS_DSZ8_ASZ64_SC1
b8c	LDGPHYSTICKLE_DSZ8_ASZ64_SC1
b8e	STATICKLE_DSZ8_ASZ64_SC1
b94	LDPPHYS_DSZ8_ASZ64_SC2
ba4	LDPPHYS_DSZ8_ASZ64_SC4
c01	STA_DSZ16_ASZ16_SC1_WU
c07	LEA_DSZ16_ASZ16_SC1
c40	STA_DSZ16_ASZ32_SC1_WR
c4c	PORTIN_DSZ16_ASZ32_SC1
c7e	PORTINSPECIAL_DSZ16_ASZ32_SC8
d40	STA_DSZ32_ASZ32_SC1_WR
d41	STA_DSZ32_ASZ32_SC1_WU
d47	LEA_DSZ32_ASZ32_SC1
d48	PORTOUT_DSZ32_ASZ32_SC1
